No#,Computername , Username , Opened Date ,Time, Problem Details , IT assigned , Status, Closed Date ,
INC#0001,VNHOC1N0032 , nguyeant , 05-11-2018 ,01:06.3, , nguyeant ,notassigned, 11:02:06.71 , 
INC#0002,VNHOC1N0032 , nguyeant , 05-11-2018 ,06:31.0, , nguyeant ,notassigned, 11:07:17.17 , 
INC#0003,VNHOC1N0032 , nguyeant , 05-11-2018 ,13:09.9, , nguyeant ,notassigned, 11:14:28.85 , 
INC#0004,VNHOC1N0032 , nguyeant , 05-11-2018 ,58:22.4, , nguyeant ,notassigned, 14:09:34.92 , 
INC#0004,VNHOC1N0032 , nguyeant , 05-11-2018 ,58:22.4, , nguyeant ,notassigned, 14:09:34.92 , 
INC#0006,VNHOC1N0032 , nguyeant , 05-11-2018 ,26:42.1, , nguyeant ,notassigned, 14:28:11.84 , 
INC#0007,VNHOC1N0032 , nguyeant , 05-11-2018 ,34:57.2, , nguyeant ,notassigned, 14:35:58.25 , 
INC#0008,VNHOC1N0032 , nguyeant , 05-11-2018 ,47:02.1, , nguyeant ,notassigned, NA , 
INC#0008,VNHOC1N0032 , nguyeant , 05-11-2018 ,47:02.1, , nguyeant ,notassigned, 14:50:04.76 , 
INC#00010,VNHOC1N0032 , nguyeant , 05-11-2018 ,15:57.6, , nguyeant ,notassigned, 15:17:10.72 , 
INC#00011,VNHOC1N0032 , nguyeant , 05-11-2018 ,45:10.2, , nguyeant ,notassigned, 15:47:17.74 , 
INC#00012,VNHOC1N0032 , nguyeant , 05-11-2018 ,47:59.7, , nguyeant ,notassigned, NA , 
