No#,Computername , Username , Opened Date ,Opened Time, Problem Details , IT assigned , Status,Action-taken Time, Closed Date ,
INC#0001,VNHOC1N0032 , nguyeant , 05-11-2018 ,01:06.3, , nguyeant ,,, 11:02:06.71 , 
INC#0002,VNHOC1N0032 , nguyeant , 05-11-2018 ,06:31.0, , nguyeant ,,, 11:07:17.17 , 
INC#0003,VNHOC1N0032 , nguyeant , 05-11-2018 ,13:09.9, , nguyeant ,,, 11:14:28.85 , 
INC#0004,VNHOC1N0032 , nguyeant , 05-11-2018 ,58:22.4, , nguyeant ,,, 14:09:34.92 , 
INC#0004,VNHOC1N0032 , nguyeant , 05-11-2018 ,58:22.4, , nguyeant ,,, 14:09:34.92 , 
INC#0006,VNHOC1N0032 , nguyeant , 05-11-2018 ,26:42.1, , nguyeant ,,, 14:28:11.84 , 
INC#0007,VNHOC1N0032 , nguyeant , 05-11-2018 ,34:57.2, , nguyeant ,,, 14:35:58.25 , 
INC#0008,VNHOC1N0032 , nguyeant , 05-11-2018 ,47:02.1, , nguyeant ,new,, NA , 
INC#0008,VNHOC1N0032 , nguyeant , 05-11-2018 ,47:02.1, , nguyeant ,in-progress,, 14:50:04.76 , 
INC#00010,VNHOC1N0032 , nguyeant , 05-11-2018 ,15:57.6, , nguyeant ,done,, 15:17:10.72 , 
INC#00011,VNHOC1N0032 , nguyeant , 05-11-2018 ,45:10.2, , nguyeant ,,, 15:47:17.74 , 
INC#00012,VNHOC1N0032 , nguyeant , 05-11-2018 ,47:59.7, , nguyeant ,,, NA , 
INC#00013,VNHOC1N0032 , nguyeant , 05-14-2018 ,15:55.9, , nguyeant , done ,, 14:57:13.80 , 
INC#00014,VNHOC1N0032 , nguyeant , 05-14-2018 ,24:22.7, , nguyeant , done ,, 14:59:41.71 , 
INC#00015,VNHOC1N0032 , nguyeant , 05-14-2018 ,57:53.9, , notassigned , new ,, 15:11:14.84 , 
INC#00016,VNHOC1N0032 , nguyeant , 05-14-2018 ,06:55.4, , nguyeant , done ,, 15:13:08.36 , 
INC#00017,VNHOC1N0032 , nguyeant , 05-14-2018 ,15:34.9, , notassigned , new ,, NA , 
INC#00018,VNHOC1N0032 , nguyeant , 05-14-2018 ,25:13.0, , nguyeant , done ,, NA , 
INC#00019,VNHOC1N0032 , nguyeant , 05-14-2018 ,51:01.3, , nguyeant , done ,, 15:55:57.86 , 
INC#00020,VNHOC1N0032 , nguyeant , 05-14-2018 ,51:42.2, , nguyeant , done ,, 15:54:33.33 , 
INC#00021,VNHOC1N0032 , nguyeant , 05-14-2018 ,22:53.7, , nguyeant , done ,, 16:38:09.74 , 
INC#00022,VNHOC1N0032 , nguyeant , 05-14-2018 ,39:42.1, , nguyeant , done ,, 16:41:11.78 , 
INC#00023,VNHOC1N0032 , nguyeant , 05-15-2018 ,27:28.8, , notassigned , new ,, NA , 
INC#00024,VNHOC1N0032 , nguyeant , 05-15-2018 ,29:06.1, , notassigned , new ,, 10:56:42.29 , 
INC#00025,VNHOC1N0032 , nguyeant , 05-15-2018 ,31:03.0, , notassigned , new ,, NA , 
INC#00026,VNHOC1N0032 , nguyeant , 05-15-2018 ,33:09.5, , notassigned , new ,, NA , 
INC#00027,VNHOC1N0032 , nguyeant , 05-15-2018 ,52:56.1, , notassigned , new ,, NA , 
INC#00028,VNHOC1N0032 , nguyeant , 05-15-2018 ,53:23.4, , nguyeant , done ,, 13:03:40.11 , 
INC#00029,VNHOC1N0032 , nguyeant , 05-15-2018 ,54:37.2, , notassigned , new ,, NA , 
INC#00030,VNHOC1N0032 , nguyeant , 05-15-2018 ,57:28.6, , nguyeant , done ,, 13:06:43.72 , 
INC#00031,VNHOC1N0032 , nguyeant , 05-15-2018 ,11:52.6, , nguyechu , done ,, 11:15:23.61 , 
INC#00032,VNHOC1N0032 , nguyeant , 05-15-2018 ,16:27.4, , nguyeant , done ,, 11:31:18.03 , 
INC#00033,VNHOC1N0032 , nguyeant , 05-15-2018 ,20:54.8, , buison , done ,, 11:23:56.57 , 
INC#00034,VNHOC1N0032 , nguyeant , 05-15-2018 ,08:40.6, , notassigned , new , NA , ,
INC#00035,VNHOC1N0048 , nguyechu , 05-15-2018 ,11:46.5, , notassigned , new , NA , ,
INC#00036,VNHOC1N0048 , nguyechu , 05-15-2018 ,15:30.6, , notassigned , new , NA , ,
INC#00037,VNHOC1N0048 , nguyechu , 05-15-2018 ,15:44.6, , notassigned , new , NA , ,
INC#00038,VNHOC1N0048 , nguyechu , 05-15-2018 ,16:05.0, , notassigned , new , NA , ,
